trip,dept_name,last_name,reason_description,expense_seq,account_no,account_description,gross_amount
2361,Executive,Delaney,"site visit",1,7000,"plane fare",747.05
2361,Executive,Delaney,"site visit",2,9000,"rental car",317.2
2361,Executive,Delaney,"site visit",3,4000,hotel,227.67
2361,Executive,Delaney,"site visit",4,8000,taxi,27.62
2362,"Human Resources",Sellers,"site visit",1,1000,"meal (no alcohol)",0
2362,"Human Resources",Sellers,"site visit",2,10000,"other transportatoin",67.11
2362,"Human Resources",Sellers,"site visit",3,8000,taxi,16.74
2362,"Human Resources",Sellers,"site visit",4,8000,taxi,3.33
2362,"Human Resources",Sellers,"site visit",5,6000,misc,52.46
2363,Logistics,Mueller,"site visit",1,8000,taxi,26.48
2363,Logistics,Mueller,"site visit",2,3000,catering,385.58
2364,"Information Technology",Molloy,conference,1,9000,"rental car",590.76
2364,"Information Technology",Molloy,conference,2,10000,"other transportatoin",68.18
2364,"Information Technology",Molloy,conference,3,10000,"other transportatoin",54.3
2365,Finance,Goff,conference,1,1000,"meal (no alcohol)",30.58
2365,Finance,Goff,conference,2,5000,"conference fees",561.43
2366,Quality,Richard,"site visit",1,1000,"meal (no alcohol)",39.36
2366,Quality,Richard,"site visit",2,10000,"other transportatoin",121.37
2366,Quality,Richard,"site visit",3,6000,misc,52.42
2366,Quality,Richard,"site visit",4,9000,"rental car",367.88
2367,Logistics,Shah,"off-site meeting",1,3000,catering,662.71
2367,Logistics,Shah,"off-site meeting",2,10000,"other transportatoin",81.53
2367,Logistics,Shah,"off-site meeting",3,8000,taxi,22.97
2367,Logistics,Shah,"off-site meeting",4,10000,"other transportatoin",133.9
2368,Quality,Hernandez,"site visit",1,4000,hotel,519.42
2368,Quality,Hernandez,"site visit",2,3000,catering,786.36
2368,Quality,Hernandez,"site visit",3,6000,misc,53.96
2368,Quality,Hernandez,"site visit",4,3000,catering,693.11
2369,"Human Resources",Jeffery,conference,1,9000,"rental car",367.57
2369,"Human Resources",Jeffery,conference,2,2000,alcohol,21.93
2369,"Human Resources",Jeffery,conference,3,2000,alcohol,13.39
2370,Purchasing,Barr,"supplier visit",1,4000,hotel,477.54
2370,Purchasing,Barr,"supplier visit",2,6000,misc,59.23
2370,Purchasing,Barr,"supplier visit",3,4000,hotel,372.42
2371,Purchasing,Devine,conference,1,8000,taxi,41.26
2371,Purchasing,Devine,conference,2,4000,hotel,186.33
2371,Purchasing,Devine,conference,3,1000,"meal (no alcohol)",24.16
2372,Purchasing,Knights,"site visit",1,8000,taxi,26.7
2372,Purchasing,Knights,"site visit",2,3000,catering,999.05
2373,Quality,Corbett,"supplier visit",1,2000,alcohol,0
2373,Quality,Corbett,"supplier visit",2,2000,alcohol,18.15
2373,Quality,Corbett,"supplier visit",3,4000,hotel,220.85
2374,Quality,Richard,"site visit",1,3000,catering,494.92
2374,Quality,Richard,"site visit",2,4000,hotel,405.67
2374,Quality,Richard,"site visit",3,5000,"conference fees",1116.69
2374,Quality,Richard,"site visit",4,2000,alcohol,4.53
2374,Quality,Richard,"site visit",5,10000,"other transportatoin",80.78
2375,Operations,Booker,"off-site meeting",1,3000,catering,653.72
2375,Operations,Booker,"off-site meeting",2,3000,catering,445.9
2375,Operations,Booker,"off-site meeting",3,10000,"other transportatoin",1.16
2376,Operations,Ballard,conference,1,2000,alcohol,9.33
2377,Executive,Chavez,"site visit",1,3000,catering,475.58
2377,Executive,Chavez,"site visit",2,7000,"plane fare",666.75
2377,Executive,Chavez,"site visit",3,4000,hotel,486.35
2378,Finance,Martins,"supplier visit",1,6000,misc,42.03
2378,Finance,Martins,"supplier visit",2,9000,"rental car",712.61
2378,Finance,Martins,"supplier visit",3,9000,"rental car",336.04
2379,Executive,Mcnally,conference,1,8000,taxi,36.68
2380,"Information Technology",Parker,"sales call",1,6000,misc,62.9
2380,"Information Technology",Parker,"sales call",2,5000,"conference fees",988.17
2380,"Information Technology",Parker,"sales call",3,7000,"plane fare",1396.19
2380,"Information Technology",Parker,"sales call",4,2000,alcohol,12.49
2381,Finance,Alcock,"sales call",1,5000,"conference fees",1064.56
2381,Finance,Alcock,"sales call",2,9000,"rental car",311.17
2382,Logistics,Harvey,conference,1,3000,catering,703.23
2382,Logistics,Harvey,conference,2,3000,catering,540.01
2382,Logistics,Harvey,conference,3,5000,"conference fees",597.46
2383,Finance,Lynch,"sales call",1,7000,"plane fare",787.5
2383,Finance,Lynch,"sales call",2,9000,"rental car",521.29
2383,Finance,Lynch,"sales call",3,3000,catering,628
2384,Operations,Booker,"off-site meeting",1,7000,"plane fare",843.16
2384,Operations,Booker,"off-site meeting",2,2000,alcohol,2.54
2384,Operations,Booker,"off-site meeting",3,2000,alcohol,5.81
2385,Finance,Martins,"site visit",1,2000,alcohol,11.31
2385,Finance,Martins,"site visit",2,7000,"plane fare",824.69
2386,Logistics,Stevens,"supplier visit",1,6000,misc,58.24
2386,Logistics,Stevens,"supplier visit",2,4000,hotel,715.07
2386,Logistics,Stevens,"supplier visit",3,4000,hotel,603.32
2387,"Information Technology",Mercer,"site visit",1,8000,taxi,29.24
2387,"Information Technology",Mercer,"site visit",2,6000,misc,59.91
2387,"Information Technology",Mercer,"site visit",3,4000,hotel,717.66
2387,"Information Technology",Mercer,"site visit",4,9000,"rental car",382.84
2387,"Information Technology",Mercer,"site visit",5,6000,misc,63.07
2388,Purchasing,Whelan,"off-site meeting",1,9000,"rental car",566.2
2388,Purchasing,Whelan,"off-site meeting",2,7000,"plane fare",956.39
2388,Purchasing,Whelan,"off-site meeting",3,5000,"conference fees",1461.93
2388,Purchasing,Whelan,"off-site meeting",4,8000,taxi,26.15
2389,"Human Resources",Robinson,conference,1,4000,hotel,72.76
2389,"Human Resources",Robinson,conference,2,5000,"conference fees",712.34
2389,"Human Resources",Robinson,conference,3,5000,"conference fees",1243.76
2389,"Human Resources",Robinson,conference,4,7000,"plane fare",753.87
2390,"Information Technology",Dennis,"site visit",1,3000,catering,255.49
2391,Executive,Goodman,"site visit",1,8000,taxi,54.31
2391,Executive,Goodman,"site visit",2,2000,alcohol,0
2392,"Human Resources",Salgado,"site visit",1,1000,"meal (no alcohol)",18.73
